URL,Property Name,Rating,Normal Price,Price after Discount,Number of remaining rooms,District
https://mamikos.com/room/kost-kota-jakarta-pusat-kost-putri-eksklusif-kost-singgahsini-joy-kramat-sentiong-85-tipe-a-senen-jakarta-pusat?redirection_source=promo%20ngebut%20kos%20lp,Kost Singgahsini Joy Kramat Sentiong 85 Tipe A Senen Jakarta Pusat,4.4,Rp1.950.000,Rp1.560.000,Sisa 1 kamar,Kecamatan Senen
https://mamikos.com/room/kost-jakarta-timur-kost-putra-eksklusif-kost-apik-green-leaves-home-tipe-b-jatinegara-jakarta-timur-1?redirection_source=promo%20ngebut%20kos%20lp,Kost Apik Green Leaves Home Tipe B Jatinegara Jakarta Timur,4.2,Rp1.600.000,Rp1.360.000,Sisa 1 kamar,Jatinegara
https://mamikos.com/room/kost-jakarta-timur-kost-campur-eksklusif-kost-apik-kerja-bakti-vii-tipe-a-makasar-jakarta-timur-1?redirection_source=promo%20ngebut%20kos%20lp,Kost Apik Kerja Bakti VII Tipe A Makasar Jakarta Timur,0,Rp1.050.000,Rp871.500,Sisa 3 kamar,Makasar
https://mamikos.com/room/kost-kota-jakarta-barat-kost-campur-eksklusif-kost-apik-r-r-tipe-b-palmerah-jakarta-barat?redirection_source=promo%20ngebut%20kos%20lp,Kost Apik R & R Tipe B Palmerah Jakarta Barat,4.5,Rp1.200.000,Rp1.080.000,0,Palmerah
https://mamikos.com/room/kost-kota-bekasi-kost-putri-murah-kost-apik-teras-permai-tipe-c-jatiasih-bekasi-1?redirection_source=promo%20ngebut%20kos%20lp,Kost Apik Teras Permai Tipe C Jatiasih Bekasi,4.7,Rp950.000,Rp788.500,Sisa 2 kamar,Jatiasih
https://mamikos.com/room/kost-kota-bekasi-kost-putri-murah-kost-apik-teras-permai-tipe-d-jatiasih-bekasi-1?redirection_source=promo%20ngebut%20kos%20lp,Kost Apik Teras Permai Tipe D Jatiasih Bekasi,4.8,Rp850.000,Rp705.500,Sisa 1 kamar,Jatiasih
https://mamikos.com/room/kost-jakarta-barat-kost-campur-eksklusif-kost-singgahsini-griya-kulem-syariah-tipe-a-kebon-jeruk-jakarta-barat?redirection_source=promo%20ngebut%20kos%20lp,Kost Singgahsini Griya Kulem Syariah Tipe A Kebon Jeruk Jakarta Barat,4.7,Rp2.400.000,Rp1.920.000,0,Kebon Jeruk
https://mamikos.com/room/kost-jakarta-timur-kost-campur-eksklusif-kost-apik-condet-raya-3-tipe-a-kramat-jati-jakarta-timur-1?redirection_source=promo%20ngebut%20kos%20lp,Kost Apik Condet Raya 3 Tipe A Kramat Jati Jakarta Timur,0,Rp1.700.000,Rp1.445.000,Sisa 2 kamar,Kramat Jati
https://mamikos.com/room/kost-jakarta-timur-kost-campur-eksklusif-kost-singgahsini-lima-lima-pulo-asem-tipe-d-pulo-gadung-jakarta-timur-1?redirection_source=promo%20ngebut%20kos%20lp,Kost Singgahsini Lima Lima Pulo Asem Tipe D Pulo Gadung Jakarta Timur,5.0,Rp2.250.000,Rp1.912.500,Sisa 1 kamar,Kecamatan Pulo Gadung
https://mamikos.com/room/kost-kota-bekasi-kost-campur-eksklusif-kost-apik-oemah-jatibening-tipe-a-pondok-gede-bekasi-1?redirection_source=promo%20ngebut%20kos%20lp,Kost Apik Oemah Jatibening Tipe A Pondok Gede Bekasi,4.2,Rp1.200.000,Rp996.000,Sisa 2 kamar,Pondokgede
https://mamikos.com/room/kost-kota-jakarta-barat-kost-campur-eksklusif-kost-apik-cemara-raya-9b-tipe-a-cengkareng-jakarta-barat?redirection_source=promo%20ngebut%20kos%20lp,Kost Apik Cemara Raya 9B Tipe A Cengkareng Jakarta Barat,4.2,Rp1.700.000,Rp1.445.000,Sisa 1 kamar,Cengkareng
https://mamikos.com/room/kost-kota-jakarta-barat-kost-campur-eksklusif-kost-apik-cemara-raya-9b-tipe-b-cengkareng-jakarta-barat?redirection_source=promo%20ngebut%20kos%20lp,Kost Apik Cemara Raya 9B Tipe B Cengkareng Jakarta Barat,4.0,Rp1.500.000,Rp1.305.000,0,Cengkareng
